name,publisher,release_date,avg_playtime,price,positive_reviews,negative_reviews
Middle-earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,09/30/2014,887,$19.99,76.48K,6.35K
Alien: Isolation,SEGA,10/06/2014,210,$39.99,49.33K,3.75K
Disney•Pixar Cars 2: The Video Game,Disney,10/06/2014,0,$19.99,653,196
Counter-Strike Nexon: Studio,NEXON,10/07/2014,67,$0,27.48K,14.06K
Styx: Master of Shadows,Cyanide Studio,10/07/2014,139,$19.99,7.94K,1.62K
Sleeping Dogs: Definitive Edition,Square Enix,10/08/2014,507,$19.99,53.92K,4.03K
FINAL FANTASY XIII,Square Enix,10/09/2014,1214,$15.99,11.92K,4.03K
Ryse: Son of Rome,Crytek ,10/10/2014,345,$9.99,31.48K,5K
Borderlands: The Pre-Sequel,2K,10/13/2014,529,$39.99,31.97K,7.34K
The Evil Within,Bethesda Softworks,10/13/2014,181,$19.99,22.98K,4K
Killing Floor - Toy Master,Tripwire Interactive,10/16/2014,1,$0,25,3
Door Kickers,KillHouse Games,10/20/2014,242,$19.99,8.98K,525
Screencheat,Samurai Punk,10/21/2014,93,$14.99,1.64K,150
IL-2 Sturmovik: Battle of Stalingrad,1С-777 Limited,10/22/2014,154,$49.99,6.35K,1.66K
Data Hacker: Corruption,New Reality Games,10/22/2014,319,$1.99,59,66
Double Action: Boogaloo,Double Action Factory,10/23/2014,47,$0,10.44K,801
Sid Meier's Civilization: Beyond Earth,2K,10/23/2014,847,$39.99,12.99K,8.83K
Dungeon of the ENDLESS,SEGA,10/27/2014,158,$11.99,11.28K,1.84K
Lords Of The Fallen 2014,CI Games,10/28/2014,169,$29.99,11.4K,7.69K
Farming Simulator 15,Giants Software,10/30/2014,1366,$12.99,13.48K,1.18K
Depth,Digital Confectioners,11/03/2014,237,$19.99,28.58K,3.94K
Call of Duty: Advanced Warfare - Gold Edition,Activision,11/03/2014,678,$59.99,13.49K,8.4K
Call of Duty: Advanced Warfare - Gold Edition,Activision,11/03/2014,351,$59.99,15.7K,8.75K
The Binding of Isaac: Rebirth,"Nicalis, Inc.",11/04/2014,3410,$14.99,261.88K,6.43K
Eldevin,Hunted Cow Games,11/05/2014,178,$0,1.28K,347
Five Nights at Freddy's 2,Scott Cawthon,11/10/2014,151,$7.99,18.98K,1.23K
Assassin's Creed Unity,Ubisoft,11/11/2014,919,$29.99,48.27K,13.95K
Valkyria Chronicles,SEGA,11/11/2014,455,$19.99,11.2K,1.18K
LEGO Batman 3: Beyond Gotham,WB Games,11/11/2014,473,$19.99,6.45K,752
This War of Mine,11 bit studios,11/14/2014,255,$19.99,88.03K,6.63K
Construction Simulator 2015,astragon Entertainment,11/18/2014,1047,$14.99,5.43K,1.19K
Never Alone (Kisima Ingitchuna),E-Line Media,11/18/2014,187,$14.99,6.57K,1.53K
Everlasting Summer,Soviet Games,11/19/2014,267,$0,66.82K,3.43K
Bloons TD 5,Ninja Kiwi,11/19/2014,1387,$9.99,10.17K,580
Divine Souls F2P MMO,Suba Games,11/20/2014,18,$0,444,444
Amazing Frog?,Fayju,11/21/2014,1699,$19.99,8.73K,612
Craft The World,Black Maple Games,11/24/2014,988,$18.99,12.66K,1.63K
Game of Thrones - A Telltale Games Series,Telltale Games,12/02/2014,486,$0,7.99K,2.55K
The Crew,Ubisoft,12/02/2014,596,$0,10.82K,4.9K
School of Dragons,"JumpStart Games, Inc.",12/04/2014,38,$0,3.36K,2.15K
LARA CROFT AND THE TEMPLE OF OSIRIS,Crystal Dynamics,12/08/2014,36,$19.99,2.66K,1.3K
The Talos Principle,Devolver Digital,12/11/2014,462,$88.99,27.25K,1.25K
Brick-Force,Infernum Games GmbH,12/11/2014,18,$0,1.64K,2.28K
Town of Salem,BlankMediaGames,12/15/2014,1111,$4.99,32.2K,4.14K
LISA: The Painful,Serenity Forge,12/15/2014,488,$19.99,13.22K,584
NEO Scavenger,Blue Bottle Games,12/15/2014,2905,$14.99,4.48K,495
Microsoft Flight Simulator X: Steam Edition,Xbox Game Studios,12/18/2014,565,$24.99,20.81K,3.31K
METAL GEAR SOLID V: GROUND ZEROES,KONAMI,12/18/2014,128,$29.99,12.95K,2.53K
Assetto Corsa,Kunos Simulazioni,12/19/2014,255,$19.99,103.74K,8.35K
BLOCKADE 3D,Novalink,12/19/2014,50,$0,15.27K,10.86K
Geometry Dash,RobTop Games,12/22/2014,302,$3.99,278.66K,19.64K
NEKOPARA Vol. 1,Sekai Project,12/29/2014,142,$9.99,25.26K,1.24K
GRAV,"BitMonster, Inc.",01/08/2015,356,$19.99,3.3K,3.61K
Just Survive,Daybreak Game Company,01/15/2015,934,$0,46.21K,32.05K
Disillusions Manga Horror,StephenAllen,01/16/2015,118,$0.99,320,218
Resident Evil,"CAPCOM Co., Ltd.",01/19/2015,280,$19.99,20.35K,1.61K
HuniePop,HuniePot,01/19/2015,518,$9.99,26.39K,1K
Cat Goes Fishing,,01/19/2015,383,$6.99,10.01K,633
Saints Row: Gat out of Hell,Deep Silver,01/20/2015,521,$14.99,7K,2.31K
CaesarIA,rdt.32,01/20/2015,149,$0,816,583
Dying Light,Techland,01/26/2015,978,$29.99,379.74K,19.41K
8BitMMO,Archive Entertainment,01/26/2015,22,$0,2.61K,1.77K
Gear Up,Doctor Entertainment AB,01/28/2015,25,$0,6.3K,2.14K
Heroes of Might & Magic III - HD Edition,Ubisoft Entertainment,01/28/2015,439,$14.99,15.49K,4.22K
Life is Strange - Episode 1,Square Enix,01/29/2015,664,$0,156.49K,6.26K
Transformice,Atelier 801,01/30/2015,47,$0,22.71K,3.17K
Particula,SA Industry,02/02/2015,379,$4.99,1.64K,718
Terra Incognita Chapter One: The Descendant,Back To Basics Gaming,02/03/2015,246,$1.99,669,368
Destination Sol,MovingBlocks,02/05/2015,35,$0,1.05K,280
SUNLESS SEA,Failbetter Games,02/06/2015,581,$18.99,7.38K,1.51K
Evolve Stage 2,2K,02/10/2015,111,$0,33.79K,14.61K
The Escapists,Team17,02/13/2015,214,$17.99,14.16K,1.53K
Total War: ATTILA,SEGA,02/17/2015,2475,$44.99,26.27K,5.97K
Hand of Fate,Defiant Development,02/17/2015,129,$19.99,9.3K,1.08K
Greyfox RPG,Senpai Studios,02/23/2015,244,$1.99,1.33K,453
Resident Evil Revelations 2,"CAPCOM Co., Ltd.",02/24/2015,128,$5.99,19.86K,5.44K
Homeworld Remastered Collection,Gearbox Publishing,02/25/2015,171,$31.99,10.96K,1.42K
DRAGON BALL XENOVERSE,BANDAI NAMCO Entertainment,02/26/2015,1301,$39.99,16.81K,1.98K
Sometimes: Success Requires Sacrifice,Volens Nolens Games,02/27/2015,242,$0,416,167
Five Nights at Freddy's 3,Scott Cawthon,03/02/2015,244,$7.99,8.08K,924
Navy Field 2 : Conqueror of the Ocean,SDEnterNet,03/05/2015,903,$0,612,768
The I of the Dragon,TopWare Interactive,03/06/2015,267,$6.99,627,295
Zombie Army Trilogy,Rebellion,03/06/2015,229,$44.99,14.23K,2.1K
Assassin’s Creed Rogue,Ubisoft,03/09/2015,692,$19.99,12.57K,2.21K
Cities: Skylines,Paradox Interactive,03/10/2015,716,$29.99,232.01K,16.69K
Hotline Miami 2: Wrong Number,Devolver Digital,03/10/2015,309,$14.99,50.45K,3.31K
Ori and the Blind Forest,Xbox Game Studios,03/10/2015,202,$0,50.14K,2.64K
Eron,SA Industry,03/17/2015,236,$4.99,199,129
Pillars of Eternity,Xbox Game Studios,03/26/2015,946,$29.99,20.1K,2.7K
ArcheAge, Kakao Games Europe B.V.,03/26/2015,9582,$0,3.79K,3.48K
AdVenture Capitalist,Hyper Hippo Games,03/30/2015,340,$0,49.62K,6.73K
DEAD OR ALIVE 5 Last Round: Core Fighters,"KOEI TECMO GAMES CO., LTD.",03/30/2015,15,$0,6.33K,3.02K
Freestyle 2: Street Basketball,JOYCITY,04/01/2015,48,$0,9.01K,3.33K
DARK SOULS II: Scholar of the First Sin,Bandai Namco Entertainment,04/01/2015,1892,$39.99,81.45K,14.47K
Make it indie!,Sometimes You,04/01/2015,224,$0.99,579,672
Survarium,Vostok Games,04/02/2015,39,$0,13.92K,11.84K
Elite Dangerous,Frontier Developments,04/02/2015,14870,$29.99,70.43K,20.61K
RUNNING WITH RIFLES,Osumia Games,04/02/2015,391,$14.99,13.2K,1.79K
War for the Overworld,Brightrock Games,04/02/2015,617,$29.99,6.38K,1.03K
Primal Carnage: Extinction,Circle Five Publishing,04/03/2015,2106,$12.99,7.08K,1.49K
Copa Petrobras de Marcas,Reiza Studios,04/08/2015,15,$0,1.7K,895
Total War Battles: KINGDOM,SEGA,04/09/2015,148,$0,1.86K,1.72K
Grand Theft Auto V,Rockstar Games,04/13/2015,17593,$14.8,1.45M,230.25K
Mortal Kombat X,Warner Bros. Games,04/13/2015,327,$19.99,44.16K,8.06K
Titan Souls,Devolver Digital,04/14/2015,44,$14.99,9.42K,2.54K
Escape Machines,Back To Basics Gaming,04/14/2015,216,$1.99,279,391
Crypt of the NecroDancer,Brace Yourself Games,04/23/2015,81,$14.99,22.52K,940
Car Mechanic Simulator 2015,PlayWay S.A.,04/23/2015,338,$19.99,13.32K,1.11K
Blender,Blender Foundation,04/24/2015,121,$0,50.06K,1.58K
Dungeons 2,Kalypso Media Digital,04/24/2015,251,$19.99,4.07K,923
Kerbal Space Program,Private Division ,04/27/2015,821,$39.99,112.48K,6.01K
State of Decay: YOSE,Xbox Game Studios,04/27/2015,209,$19.99,9.01K,2.06K
Verdun,BlackMill Games,04/28/2015,277,$19.99,31.59K,5.14K
Exanima,Bare Mettle Entertainment,04/29/2015,1427,$14.99,8.86K,1.89K
Block N Load,Toadman Interactive,04/30/2015,80,$0,12.01K,3.29K
METAL SLUG DEFENSE,SNK CORPORATION,05/01/2015,72,$0,1.04K,863
Wolfenstein: The Old Blood,Bethesda Softworks,05/04/2015,578,$19.99,16.01K,1.84K
Project CARS,Codemasters,05/06/2015,354,$0,11.31K,2.99K
"Invisible, Inc.",Klei Entertainment,05/12/2015,187,$19.99,4.92K,446
Despair,AGC,05/12/2015,213,$0.99,638,1.22K
Clicker Heroes,Playsaurus,05/13/2015,472,$0,53.68K,6.07K
Galactic Civilizations III,Stardock Entertainment,05/14/2015,282,$39.99,7.78K,2.38K
Batla,Abyss Lights Studio LLP,05/14/2015,60,$0,1.96K,1.15K
S.K.I.L.L. - Special Force 2 (Shooter),,05/19/2015,72,$0,8.13K,3.34K
GameGuru Classic,TheGameCreators,05/19/2015,38,$19.99,1.5K,556
Blockstorm,IndieGala,05/21/2015,270,$0,5.17K,1.28K
Strife,S2 Games,05/22/2015,78,$0,3.64K,1.15K
60 Seconds!,Robot Gentleman,05/25/2015,150,$8.99,9.45K,1.75K
Magicka 2,Paradox Interactive,05/26/2015,167,$14.99,9.96K,2.12K
BeamNG.drive,BeamNG,05/29/2015,571,$24.99,210.85K,6.02K
Hatred,Destructive Creations,06/01/2015,67,$5.99,13.94K,3.1K
The Four Kings Casino and Slots,Digital Leisure Inc.,06/01/2015,235,$0,2.51K,1.17K
Audition Online,Redbana Corporation,06/03/2015,5181,$0,961,622
Duck Game,Adult Swim Games,06/04/2015,503,$12.99,35.3K,1.27K
New kind of adventure,Back To Basics Gaming,06/04/2015,225,$1.99,630,875
Tabletop Simulator,Berserk Games,06/05/2015,449,$19.99,58.93K,3.71K
Kholat,IMGN.PRO,06/09/2015,306,$19.99,4.33K,2.11K
LEGO Jurassic World,Warner Bros. Interactive Entertainment,06/11/2015,417,$19.99,7.04K,644
Eternal Senia,Sanctum Games,06/18/2015,138,$0,11.53K,287
Batman: Arkham Knight,WB Games,06/23/2015,587,$19.99,96.36K,15.03K
Devil May Cry 4 Special Edition,"CAPCOM Co., Ltd. ",06/23/2015,474,$24.99,13.09K,1.46K
Barony,Turning Wheel LLC,06/23/2015,192,$19.99,5.71K,467
Her Story,Sam Barlow,06/24/2015,160,$9.99,7.87K,908
Nomad,Diminished Studios,06/26/2015,84,$0,2.82K,1.83K
Divide By Sheep,tinyBuild,07/02/2015,29,$4.99,2.33K,231
Rocket League,Psyonix LLC,07/06/2015,15227,$0,507.31K,68.31K
CPUCores :: Maximize Your FPS,Smorb Software,07/06/2015,3668,$14.99,8.5K,3.36K
FaceRig,Holotech Studios,07/07/2015,0,$0,6.84K,1.62K
Trove,gamigo US Inc.,07/09/2015,371,$0,73.24K,17.75K
F1 2015,Codemasters,07/09/2015,319,$0,5.41K,3.17K
The Red Solstice,Ironward,07/09/2015,176,$9.99,1.73K,680
Card Hunter,The Knights of Unity,07/13/2015,100,$0,4.34K,712
Secrets of Grindea,Pixel Ferrets,07/13/2015,2105,$14.99,5.47K,653
Atonement: Scourge of Time,New Reality Games,07/16/2015,320,$5.99,266,107
Time Clickers, ,07/23/2015,310,$0,4.38K,595
Five Nights at Freddy's 4,Scott Cawthon,07/23/2015,293,$7.99,12.17K,953
Victor Vran ARPG,Haemimont Games,07/24/2015,477,$19.99,5.35K,871
Spooky's Jump Scare Mansion,Lag Studios,07/28/2015,53,$0,13.1K,997
Magic Duels,Wizards of the Coast LLC,07/29/2015,425,$0,16.96K,6.97K
Mitos.is: The Game,Freakinware Studios,07/29/2015,43,$0,9.49K,2.26K
Sakura Clicker,Winged Cloud,07/29/2015,56,$0,12.36K,2.41K
Absolute Drift,Funselektor Labs Inc.,07/29/2015,103,$11.99,2.53K,335
Stellar 2D,Back To Basics Gaming,07/30/2015,220,$1.99,388,578
Airscape - The Fall of Gravity,Senpai Studios,08/11/2015,205,$4.99,2.19K,484
Hacknet,Fellow Traveller,08/12/2015,832,$9.99,21.97K,1.5K
NEKOPARA Vol. 0,Sekai Project,08/17/2015,83,$2.99,16.24K,1.05K
Relic Hunters Zero: Remix,Akupara Games,08/18/2015,104,$0,6.33K,450
Planetary Annihilation: TITANS,Planetary Annihilation Inc,08/18/2015,182,$29.99,11.3K,2.02K
RPG MO,Marxnet,08/18/2015,6,$0,2.19K,587
Viridi,Ice Water Games,08/19/2015,16,$0,8.09K,700
Trine 3: The Artifacts of Power,Frozenbyte,08/20/2015,295,$21.99,5.32K,3.02K
Shadowrun: Hong Kong - Extended Edition,Paradox Interactive,08/20/2015,802,$19.99,3.82K,588
Secret Of Magia,Senpai Studios,08/21/2015,241,$1.99,433,431
Universe Sandbox,Giant Army,08/24/2015,239,$29.99,21.42K,831
Teeworlds,Teeworlds Team,08/24/2015,41,$0,3.83K,494
Party Hard,tinyBuild,08/25/2015,233,$9.99,9.01K,1.03K
Satellite Reign,5 Lives Studios,08/27/2015,182,$29.99,3.61K,1.45K
One Piece Pirate Warriors 3,BANDAI NAMCO Entertainment,08/27/2015,563,$39.99,7.66K,1.93K
Fran Bow,Killmonday Games AB,08/27/2015,492,$14.99,14.66K,426
Mortal Online,Star Vault AB,08/31/2015,44,$0,1.53K,1.4K
Mad Max,Warner Bros. Games,09/01/2015,627,$19.99,65.42K,5.78K
METAL GEAR SOLID V: THE PHANTOM PAIN,KONAMI,09/01/2015,1064,$29.99,80.3K,7.72K
Armello,League of Geeks,09/01/2015,1675,$24.99,12.47K,2.75K
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,marbenx,09/02/2015,55,$0.99,9.29K,469
SMITE,Hi-Rez Studios,09/08/2015,131,$0,90.38K,23.52K
Easy eSports,EasyAntiCheat Ltd,09/10/2015,157,$0,7.96K,1.92K
Sakura Swim Club,Winged Cloud,09/11/2015,158,$9.99,2.41K,422
Simply Chess,BlueLine Games,09/11/2015,41,$0,2.54K,883
Destiny Warriors RPG,Senpai Studios,09/11/2015,235,$1.99,562,539
Undertale,tobyfox,09/15/2015,509,$9.99,206.47K,7.13K
Train Valley,Flazm,09/16/2015,111,$9.99,2.78K,320
Train Simulator Classic,Dovetail Games - Trains,09/17/2015,454,$24.99,18.43K,7.74K
Clergy Splode,Back To Basics Gaming,09/17/2015,222,$1.99,215,289
Timberman,Forever Entertainment S. A.,09/18/2015,167,$0.99,10.61K,745
SOMA,Frictional Games,09/21/2015,210,$29.99,36.32K,1.53K
Blood Bowl 2,Nacon,09/22/2015,299,$19.99,6.71K,1.83K
Romero's Aftermath,OP Productions LLC,09/24/2015,71,$0,5.44K,5.76K
Journey To The Center Of The Earth,InSayn,09/25/2015,246,$0,422,220
Jotun: Valhalla Edition,Thunder Lotus Games,09/29/2015,119,$14.99,6.4K,1.85K
Might & Magic Heroes VII,Ubisoft,09/29/2015,2586,$29.99,3.28K,2.77K
NBA 2K16,2K,09/29/2015,6215,$0,3.81K,3.56K
The Beginner's Guide,Everything Unlimited Ltd.,10/01/2015,114,$9.99,17.18K,2.44K
ShareX,ShareX Team,10/02/2015,110,$0,5.75K,259
Prison Architect,Paradox Interactive,10/06/2015,402,$29.99,60.84K,6.95K
Keep Talking and Nobody Explodes,Steel Crate Games,10/08/2015,277,$14.99,12.61K,279
Hyperdrive Massacre,34BigThings srl,10/12/2015,254,$9.99,192,158
Broforce,Devolver Digital,10/15/2015,312,$14.99,53.47K,1.65K
Planetbase,Madruga Works,10/15/2015,689,$14.99,7.23K,1.88K
Human Resource Machine,Tomorrow Corporation,10/15/2015,148,$14.99,3.78K,245
Garfield Kart,Microids,10/16/2015,16,$4.99,12.13K,1.66K
Tales of Zestiria,BANDAI NAMCO Entertainment,10/19/2015,202,$49.99,7.05K,1.62K
Ampersand,Back To Basics Gaming,10/19/2015,223,$1.99,350,694
Rebel Galaxy,Double Damage Games,10/20/2015,256,$19.99,6.64K,1.16K
Kingdom: Classic,Raw Fury,10/21/2015,205,$0,18.91K,1.96K
DISTRAINT: Deluxe Edition,Jesse Makkonen,10/21/2015,256,$4.99,10.62K,764
Warhammer: End Times - Vermintide,Fatshark,10/23/2015,204,$29.99,16.41K,4.08K
Viscera Cleanup Detail,RuneStorm,10/23/2015,290,$12.99,18.08K,1.31K
Divinity: Original Sin - Enhanced Edition,Larian Studios,10/27/2015,366,$39.99,22.79K,2.53K
Endless Sky,Michael Zahniser,10/30/2015,157,$0,5.61K,478
Anno 2205,Ubisoft,11/02/2015,999,$39.99,3.83K,1.67K
Call of Duty: Black Ops III,Activision,11/05/2015,2626,$59.99,154.14K,31.7K
Darksiders II Deathinitive Edition,THQ Nordic,11/05/2015,259,$29.99,12.57K,3.54K
The Incredible Adventures of Van Helsing: Final Cut,NeocoreGames,11/06/2015,154,$44.99,2.64K,795
Mini Metro,Dinosaur Polo Club,11/06/2015,148,$9.99,13.82K,540
Fallout 4,Bethesda Softworks,11/09/2015,1525,$19.99,268.88K,55.81K
Turbo Pug,Back To Basics Gaming,11/09/2015,242,$1.99,3.06K,312
Steam Link,,11/10/2015,0,$0,5.75K,1.75K
Steel Ocean,Changyou.com Limited,11/12/2015,80,$0,3.1K,1.4K
Assassin's Creed Syndicate,Ubisoft,11/18/2015,1174,$29.99,21.06K,5.18K
Mordheim: City of the Damned,Nacon,11/19/2015,274,$19.99,5.31K,2.26K
Emily is Away,Kyle Seeley,11/20/2015,44,$0,27.66K,3.55K
12 is Better Than 6,HypeTrain Digital,11/20/2015,373,$9.99,5.41K,1.02K
Vendetta - Curse of Raven's Cry,TopWare Interactive,11/20/2015,364,$29.99,315,332
Just Cause 3,Square Enix,11/30/2015,341,$19.99,95.01K,19.15K
Tom Clancy's Rainbow Six Siege,Ubisoft,12/01/2015,2206,$19.99,1.04M,171.4K
The Isle,Afterthought LLC,12/01/2015,944,$19.99,60.62K,12.63K
ShipLord,SA Industry,12/02/2015,284,$10.99,359,308
AX:EL - Air XenoDawn,KISS ltd,12/04/2015,44,$0,916,284
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",Crows Crows Crows,12/04/2015,36,$0,8.8K,621
Nuclear Throne,Vlambeer,12/05/2015,876,$11.99,16.34K,646
DiRT Rally,Codemasters,12/07/2015,125,$0,34.43K,4.75K
HELLDIVERS Dive Harder Edition,PlayStation PC LLC,12/07/2015,404,$19.99,22.92K,2.11K
Pool Nation FX Lite,Cherry Pop Games,12/07/2015,32,$0,1.42K,580
The Mean Greens - Plastic Warfare,Virtual Basement LLC,12/08/2015,110,$9.99,8.16K,1.82K
MechWarrior Online Solaris 7,Piranha Games Inc.,12/10/2015,77,$0,8.83K,2.28K
VEGA Conflict,KIXEYE,12/14/2015,194,$0,2.76K,1.93K
Reign Of Kings,Code}{atch,12/15/2015,380,$9.99,8.56K,6.42K
SimplePlanes,"Jundroo, LLC",12/17/2015,227,$12.99,9.1K,669
Drift Streets Japan,SA Industry,12/21/2015,603,$4.99,2.23K,1.25K
War Trigger 3,"Rocketeer Games Studio, LLC",12/22/2015,24,$0,4.9K,3.34K
Heaven Island - VR MMO,Chubby Pixel,12/23/2015,409,$0.99,1.24K,868
Pony Island,Daniel Mullins Games,01/04/2016,142,$4.99,14.18K,705
Punch Club,tinyBuild,01/08/2016,280,$9.99,10.67K,2.57K
Feed and Grow: Fish,Greens s.r.o.,01/08/2016,423,$14.99,11.45K,3.28K
Oxenfree,Night School Studio,01/14/2016,235,$9.99,10.28K,865
Dragon's Dogma: Dark Arisen,Capcom,01/15/2016,432,$29.99,34.1K,3.85K
"Kivi, Toilet and Shotgun",Back To Basics Gaming,01/15/2016,230,$1.99,258,243
Scrap Mechanic,Axolot Games,01/19/2016,681,$19.99,95.7K,7.42K
Darkest Dungeon,Red Hook Studios,01/19/2016,576,$24.99,119.15K,10.96K
Resident Evil 0,"CAPCOM Co., Ltd.",01/19/2016,242,$19.99,8.91K,1.88K
Move or Die,Those Awesome Guys,01/21/2016,105,$14.99,20.23K,2.28K
Crashlands,Butterscotch Shenanigans,01/21/2016,282,$14.99,4.02K,503
Sven Co-op,Sven Co-op team,01/22/2016,84,$0,27.11K,1.82K
Knight Online,NTTGame,01/25/2016,17,$0,5.2K,5.22K
The Witness,"Thekla, Inc.",01/26/2016,130,$39.99,13.89K,2.42K
LEGO MARVEL's Avengers,Warner Bros. Interactive Entertainment,01/26/2016,1265,$19.99,5.92K,767
Iron Snout,SnoutUp,01/27/2016,65,$0,16.79K,381
Super Mustache,Back To Basics Gaming,01/27/2016,228,$1.99,464,171
AI: Rampage,New Reality Games,01/27/2016,255,$1.99,186,304
Blood and Bacon,Grunge Games LTD,02/01/2016,168,$0.99,30.21K,1.52K
Tales of Symphonia,BANDAI NAMCO Entertainment,02/01/2016,168,$19.99,3.87K,654
Time of Dragons,4 I Lab,02/01/2016,16,$0,1.06K,638
American Truck Simulator,SCS Software,02/02/2016,965,$19.99,137.43K,4.66K
Fortified,Siege Camp,02/03/2016,312,$14.99,1.26K,415
XCOM 2,2K,02/04/2016,1445,$59.99,76.87K,14.4K
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,BANDAI NAMCO Entertainment,02/04/2016,478,$19.99,73.44K,7.2K
Rise of the Tomb Raider,Crystal Dynamics,02/09/2016,628,$29.99,115.08K,7.37K
Firewatch,Panic,02/09/2016,303,$19.99,55.54K,6.85K
Street Fighter V,"CAPCOM Co., Ltd.",02/15/2016,805,$19.99,28.52K,14.02K
Layers of Fear (2016),Bloober Team SA,02/15/2016,230,$19.99,22.65K,2.8K
Medusa's Labyrinth,Guru Games,02/15/2016,29,$0,850,249
Plague Inc: Evolved,Ndemic Creations,02/18/2016,305,$14.99,47.08K,2.75K
Danganronpa: Trigger Happy Havoc,"Spike Chunsoft Co., Ltd.",02/18/2016,1243,$19.99,25.88K,1.04K
Governor of Poker 3,Playtika Ltd.,02/19/2016,98,$0,9.57K,4.1K
Broken Dreams,New Reality Games,02/19/2016,261,$1.99,335,139
NEKOPARA Vol. 2,Sekai Project,02/19/2016,190,$9.99,12.06K,354
Aseprite,Igara Studio,02/22/2016,1559,$19.99,15.67K,129
SteamVR Performance Test,,02/22/2016,0,$0,4.24K,1.31K
Godot Engine,Godot Engine,02/23/2016,282,$0,3.48K,122
The Walking Dead: Michonne - A Telltale Miniseries,Skybound Games,02/23/2016,208,$14.99,5.46K,1.4K
Z1 Battle Royale: Test Server,Daybreak Game Company,02/24/2016,11,$0,1.33K,1.21K
Shakes and Fidget,Playa Games GmbH,02/24/2016,310,$0,31.19K,2.11K
Disgaea PC,"NIS America, Inc.",02/24/2016,776,$19.99,3.8K,551
The Flame in the Flood,The Molasses Flood,02/24/2016,178,$14.99,5.27K,1.67K
Grim Dawn,Crate Entertainment,02/25/2016,548,$22.0,83.84K,5.61K
SUPERHOT,SUPERHOT Team,02/25/2016,154,$22.49,32.51K,3.27K
Stardew Valley,ConcernedApe,02/26/2016,10733,$14.99,622.31K,11.06K
Far Cry Primal,Ubisoft,02/29/2016,870,$29.99,24.13K,4.21K
Party Jousting,vikingfabian.com,03/01/2016,19,$0,657,60
Woodle Tree Adventures,Chubby Pixel,03/02/2016,204,$3.99,3.72K,1.79K
Ultimate Chicken Horse,Clever Endeavour Games,03/04/2016,274,$14.99,37.15K,1.63K
Momodora: Reverie Under The Moonlight,PLAYISM,03/04/2016,115,$9.99,9.74K,634
Rabiez: Epidemic,New Reality Games,03/04/2016,262,$1.99,86,120
Tom Clancy’s The Division,Ubisoft,03/07/2016,1570,$29.99,62.44K,27.05K
Moon Hunters,Kitfox Games,03/10/2016,107,$14.99,3.8K,1.02K
"Gremlins, Inc.",The Merchant Guild of Rund (Limited),03/10/2016,311,$19.99,6.42K,1.19K
HITMAN,IO Interactive A/S,03/11/2016,541,$0,30.79K,6.23K
Out There Somewhere,Senpai Studios,03/14/2016,148,$0.99,6.42K,480
Sheltered,Team17 Digital Ltd,03/15/2016,148,$14.99,4.77K,1.08K
Defy Gravity Extended,Fish Factory Games,03/18/2016,116,$1.99,7.4K,1.2K
Calcu-Late,Back To Basics Gaming,03/18/2016,228,$1.99,208,145
Day of the Tentacle Remastered,Double Fine Productions,03/21/2016,82,$14.99,3.93K,126
Bacteria,Sometimes You,03/23/2016,390,$0.99,224,165
The Descendant,Microids Indie,03/24/2016,254,$0,5.73K,748
SAMOLIOTIK,Volens Nolens Games,03/25/2016,302,$4.99,2.28K,439
Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd.",03/28/2016,522,$0,12.9K,7.12K
Epistory - Typing Chronicles,Fishing Cactus,03/30/2016,187,$14.99,5.94K,315
Catch a Falling Star,Back To Basics Gaming,03/30/2016,220,$1.99,441,166
Hyper Light Drifter,Heart Machine,03/31/2016,333,$19.99,15.48K,1.09K
Virtual Desktop Classic,"Virtual Desktop, Inc.",03/31/2016,504,$14.99,1.37K,589
Lup,Back To Basics Gaming,04/01/2016,234,$1.99,163,204
Enter the Gungeon,Devolver Digital,04/05/2016,485,$14.99,73.65K,3.21K
The Lab,Valve,04/05/2016,30,$0,5.61K,292
"Hot Dogs, Horseshoes & Hand Grenades",RUST LTD.,04/05/2016,1896,$19.99,18.7K,579
Job Simulator,Owlchemy Labs,04/05/2016,104,$19.99,3.9K,398
Age of Conquest IV,Noble Master LLC,04/05/2016,1213,$0,2.09K,475
Tower Unite,PixelTail Games,04/08/2016,991,$19.99,17.3K,1.88K
DARK SOULS III,"FromSoftware, Inc.",04/11/2016,1761,$59.99,345.43K,21.1K
Stories: The Path of Destinies,Spearhead Games,04/12/2016,313,$14.99,5.63K,747
Hero Quest: Tower Conflict,New Reality Games,04/13/2016,255,$1.99,95,224
FINAL FANTASY IX,Square Enix,04/14/2016,884,$20.99,9.31K,543
The SKIES - BETA,Eforb,04/16/2016,19,$0,1.68K,2.3K
Danganronpa 2: Goodbye Despair,"Spike Chunsoft Co., Ltd.",04/18/2016,1797,$19.99,22.76K,860
SpeedRunners,tinyBuild,04/19/2016,418,$14.99,33.3K,2.16K
Bloons TD Battles,Ninja Kiwi,04/20/2016,182,$0,25.7K,2.61K
Don't Starve Together,Klei Entertainment,04/21/2016,461,$14.99,417.54K,18.4K
