name,publisher,release_date,avg_playtime,price,positive_reviews,negative_reviews
Bully: Scholarship Edition,Rockstar Games,10/21/2008,119,$14.99,24.97K,4.51K
Far Cry 2,Ubisoft,10/22/2008,114,$9.99,11.33K,3.31K
Fallout 3,Bethesda Softworks,10/28/2008,394,$9.99,15K,3.72K
Mount & Blade,TaleWorlds Entertainment,11/03/2008,234,$9.99,5.62K,456
Left 4 Dead,Valve,11/17/2008,161,$9.99,50.41K,1.95K
Call of Duty: World at War,Activision,11/18/2008,1328,$19.99,42.89K,3.79K
Tomb Raider: Underworld,Crystal Dynamics,11/21/2008,59,$8.99,4.15K,1.27K
Defense Grid: The Awakening,Hidden Path Entertainment,12/08/2008,255,$9.99,4.64K,180
SPORE,Electronic Arts,12/19/2008,500,$19.99,51.23K,4.3K
Mass Effect (2007),Electronic Arts,12/19/2008,599,$29.99,15.18K,1.02K
Need for Speed Undercover,Electronic Arts,12/19/2008,1546,$0,5.8K,1.94K
Saints Row 2,Deep Silver,01/07/2009,107,$9.99,14.48K,4.53K
Command & Conquer: Red Alert 3,Electronic Arts,01/08/2009,121,$19.99,11.06K,1.86K
Dead Space (2008),Electronic Arts,01/09/2009,99,$19.99,23.73K,2.19K
Mirror's Edge,Electronic Arts,01/14/2009,123,$19.99,30.7K,4.4K
F.E.A.R. 2: Project Origin,Warner Bros. Games,02/12/2009,250,$14.99,6.25K,1.04K
"Warhammer 40,000: Dawn of War II",SEGA,02/18/2009,262,$19.99,10K,1.23K
Total War: EMPIRE – Definitive Edition,SEGA,03/04/2009,10035,$24.99,29.11K,2.97K
Unreal Tournament 3 Black,"Epic Games, Inc.",03/05/2009,101,$0,3.42K,476
Burnout Paradise: The Ultimate Box,Electronic Arts,03/12/2009,88,$0,11.56K,1.7K
Company of Heroes: Tales of Valor,SEGA,04/08/2009,267,$19.99,2.02K,150
The Last Remnant,Square Enix,04/09/2009,333,$0,3.24K,746
Braid,Number None,04/10/2009,188,$14.99,8.71K,570
Two Worlds Epic Edition,Topware Interactive,04/30/2009,269,$9.99,4.07K,1.27K
X-Blades,Topware Interactive,04/30/2009,238,$9.99,1.92K,1.2K
Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.",05/05/2009,618,$4.99,115.3K,2.92K
Crayon Physics Deluxe,Kloonigames,05/06/2009,97,$19.99,912,147
Killing Floor,Tripwire Interactive,05/14/2009,381,$19.99,61.94K,3.28K
Alien Shooter,Sigma Team Inc.,05/27/2009,233,$4.99,3.48K,186
Prototype,Activision,06/10/2009,145,$19.99,8.5K,2.13K
The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe,Bethesda Softworks,06/16/2009,0,$19.99,41.48K,1.93K
The Elder Scrolls IV: Oblivion Game of the Year Edition,Bethesda Softworks,06/16/2009,800,$14.99,41.48K,1.93K
The Elder Scrolls III: Morrowind Game of the Year Edition,Bethesda Softworks,06/16/2009,218,$14.99,22.1K,1.08K
America's Army 3,U.S. Army,06/17/2009,99,$0,1.7K,722
Overlord II,Codemasters,06/23/2009,592,$9.99,3.8K,474
SPORE Galactic Adventures,Electronic Arts,06/23/2009,1483,$19.99,5.6K,728
Trine Enchanted Edition,Frozenbyte,07/02/2009,146,$14.99,13.86K,600
"Star Wars: Battlefront 2 (Classic, 2005)",Lucasfilm,07/08/2009,340,$9.99,47.71K,2.81K
STAR WARS Republic Commando,LucasArts,07/08/2009,82,$9.99,13.85K,621
The Secret of Monkey Island: Special Edition,LucasArts,07/15/2009,475,$9.99,5K,238
Sniper Elite,Rebellion,07/16/2009,128,$7.99,2.5K,747
Red Faction,Deep Silver,08/05/2009,242,$9.99,2.16K,317
Hearts of Iron III,Paradox Interactive,08/07/2009,302,$9.99,4.38K,1.29K
Fallout Tactics: Brotherhood of Steel,Bethesda Softworks,08/19/2009,87,$9.99,1.74K,467
Fallout 2: A Post Nuclear Role Playing Game,Bethesda Softworks,08/19/2009,206,$9.99,11.78K,721
Tom Clancy's Splinter Cell Chaos Theory,Ubisoft,08/27/2009,146,$9.99,4K,293
STAR WARS Knights of the Old Republic,LucasArts,09/05/2009,213,$9.99,26.51K,2.6K
Resident Evil 5,Capcom,09/15/2009,527,$19.99,34.34K,4.83K
Red Faction Guerrilla Steam Edition,Deep Silver,09/15/2009,148,$19.99,6.77K,741
STAR WARS Jedi Knight - Jedi Academy,LucasArts,09/16/2009,235,$9.99,12.02K,491
STAR WARS - Dark Forces,LucasArts,09/16/2009,37,$5.99,2.46K,287
STAR WARS Jedi Knight II - Jedi Outcast,LucasArts,09/16/2009,180,$9.99,3.95K,375
STAR WARS Jedi Knight - Mysteries of the Sith,LucasArts,09/16/2009,6,$2.99,592,302
Risen,THQ Nordic,10/02/2009,460,$14.99,7.78K,979
Operation Flashpoint: Dragon Rising,Codemasters,10/06/2009,137,$9.99,1.58K,740
Command & Conquer: Red Alert 3 - Uprising,Electronic Arts,10/06/2009,372,$19.99,3.78K,709
Machinarium,Amanita Design,10/16/2009,229,$19.99,13K,618
Tropico 3,Kalypso Media Digital,10/20/2009,90,$9.99,1.58K,200
Torchlight,Gearbox Publishing,10/27/2009,569,$14.99,5.91K,562
Dragon Age: Origins,Electronic Arts,11/06/2009,1014,$29.99,9.61K,862
LEGO Star Wars - The Complete Saga,LucasArts,11/12/2009,238,$19.99,20.78K,729
Command & Conquer 3: Tiberium Wars,Electronic Arts,11/13/2009,197,$14.99,6.23K,646
Left 4 Dead 2,Valve,11/16/2009,472,$9.99,790.07K,19.77K
Serious Sam HD: The First Encounter,Devolver Digital,11/24/2009,83,$14.99,6.86K,464
Gothic 3,THQ Nordic,12/02/2009,44,$9.99,8.12K,1.79K
The Bard's Tale ARPG: Remastered and Resnarkled,inXile Entertainment,12/11/2009,562,$19.99,956,307
STAR WARS - The Force Unleashed Ultimate Sith Edition,LucasArts,12/15/2009,259,$19.99,7.09K,2.47K
Fallout 3: Game of the Year Edition,Bethesda Softworks,12/17/2009,244,$19.99,34.24K,8.34K
BioShock 2,2K,02/09/2010,103,$19.99,12.09K,1.45K
S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,02/11/2010,273,$19.99,25K,1.22K
"Pirates, Vikings, and Knights II",Octoshark Studios,02/12/2010,55,$0,5.03K,699
Aliens vs. Predator,SEGA,02/16/2010,227,$14.99,16.22K,1.6K
Total War: NAPOLEON – Definitive Edition,SEGA,02/25/2010,2518,$24.99,20.55K,2.02K
Supreme Commander 2,Square Enix,03/01/2010,990,$12.99,10.25K,1.36K
Battlefield: Bad Company 2,Electronic Arts,03/02/2010,685,$0,31.34K,5.51K
Assassin's Creed 2,Ubisoft,03/09/2010,371,$19.99,41.24K,4.79K
"Warhammer 40,000: Dawn of War II Chaos Rising",SEGA,03/10/2010,687,$19.99,2.8K,270
Just Cause 2,Square Enix,03/23/2010,633,$14.99,45.26K,4.57K
Batman: Arkham Asylum Game of the Year Edition,WB Games,03/26/2010,334,$19.99,55.19K,2.14K
Mount & Blade: Warband,TaleWorlds Entertainment,03/31/2010,2105,$19.99,152.38K,3.49K
Lead and Gold: Gangs of the Wild West,Fatshark,04/08/2010,651,$9.99,1.57K,611
Grand Theft Auto: Episodes from Liberty City,Rockstar Games,04/12/2010,0,$0,7.59K,2.68K
Beat Hazard,Cold Beam Games,04/15/2010,114,$9.99,6.86K,388
Tom Clancy's Splinter Cell Conviction Deluxe Edition,Ubisoft,04/29/2010,0,$19.99,2.81K,1.13K
F.E.A.R.,Warner Bros. Games,05/21/2010,214,$54.99,0,0
F.E.A.R.,Warner Bros. Games,05/21/2010,224,$54.99,0,0
STAR WARS Empire at War - Gold Pack,LucasArts,05/25/2010,196,$19.99,33.35K,829
